A093370,후성,반도체 관련장비 및 부품,Y,N,N,N
A028150,GS홈쇼핑,유통,Y,N,N,N
A280360,롯데제과,식음료,Y,N,N,N
A001060,JW중외제약,제약 및 바이오,Y,N,N,N
A336260,두산퓨얼셀,IT 장비 및 소재,Y,N,N,N
A020000,한섬,섬유 및 의류,Y,N,N,N
A049770,동원F&B,식음료,Y,N,N,N
A078130,국일제지,종이 및 용기,Y,N,N,N
A213420,덕산네오룩스,디스플레이 장비 및 부품,Y,N,N,N
A170900,동아에스티,제약 및 바이오,Y,N,N,N
A034310,NICE,지주사,Y,Y,N,N
A079550,LIG넥스원,기계,Y,N,N,N
A039200,오스코텍,제약 및 바이오,Y,N,N,N
A022100,포스코 ICT,IT서비스,Y,N,N,N
A069080,웹젠,미디어 및 엔터,Y,N,N,N
A033640,네패스,반도체 관련장비 및 부품,Y,N,N,N
A000150,두산,지주사,Y,Y,N,N
A003850,보령제약,제약 및 바이오,Y,N,N,N
A268600,셀리버리,제약 및 바이오,Y,N,N,N
A069260,휴켐스,화학,Y,N,N,N
A115390,락앤락,종이 및 용기,Y,N,N,N
A018670,SK가스,석유 및 가스,Y,N,N,N
A033660,아주캐피탈,금융,Y,N,Y,N
A086520,에코프로,IT 장비 및 소재,Y,N,N,N
A112610,씨에스윈드,에너지,Y,N,N,N
A115450,지트리비앤티,제약 및 바이오,Y,N,N,N
A018250,애경산업,가정용품,Y,N,N,N
A071840,롯데하이마트,유통,Y,N,N,N
A067160,아프리카TV,미디어 및 엔터,Y,N,N,N
A001440,대한전선,전기 및 전자기기,Y,N,N,N
A003380,하림지주,지주사,Y,Y,N,N
A078070,유비쿼스홀딩스,지주사,Y,Y,N,N
A001230,동국제강,철강 및 비철강,Y,N,N,N
A092190,서울바이오시스,전기 및 전자기기,Y,N,N,N
A008350,남선알미늄,건설 및 건축자재,Y,N,N,N
A065660,안트로젠,제약 및 바이오,Y,N,N,N
A005850,에스엘,자동차 및 관련부품,Y,N,N,N
A108320,실리콘웍스,디스플레이 장비 및 부품,Y,N,N,N
A090460,비에이치,IT 장비 및 소재,Y,N,N,N
A237690,에스티팜,제약 및 바이오,Y,N,N,N
A183490,엔지켐생명과학,제약 및 바이오,Y,N,N,N
A052690,한전기술,건설 및 건축자재,Y,N,N,N
A092040,아미코젠,제약 및 바이오,Y,N,N,N
A005180,빙그레,식음료,Y,N,N,N
A267980,매일유업,식음료,Y,N,N,N
A064960,S&T모티브,자동차 및 관련부품,Y,N,N,N
A041510,에스엠,미디어 및 엔터,Y,N,N,N
A192400,쿠쿠홀딩스,가정용품,Y,N,N,N
A014820,동원시스템즈,종이 및 용기,Y,N,N,N
A007390,네이처셀,식음료,Y,N,N,N
A083790,크리스탈,제약 및 바이오,Y,N,N,N
A230360,에코마케팅,미디어 및 엔터,Y,N,N,N
A103140,풍산,철강 및 비철강,Y,N,N,N
A002350,넥센타이어,자동차 및 관련부품,Y,N,N,N
A192650,드림텍,IT 장비 및 소재,Y,N,N,N
A005610,SPC삼립,식음료,Y,N,N,N
A108670,LG하우시스,건설 및 건축자재,Y,N,N,N
A002320,한진,운송 및 물류,Y,N,N,N
A035600,KG이니시스,IT서비스,Y,N,N,N
A001120,LG상사,일반서비스,Y,N,N,N
A286940,롯데정보통신,IT서비스,Y,N,N,N
A097520,엠씨넥스,IT 장비 및 소재,Y,N,N,N
A001820,삼화콘덴서,IT 장비 및 소재,Y,N,N,N
A151910,나노스,IT 장비 및 소재,Y,N,N,N
A039130,하나투어,레저산업,Y,N,N,N
A003470,유안타증권,금융,Y,N,Y,N
A271980,제일약품,제약 및 바이오,Y,N,N,N
A012630,HDC,건설 및 건축자재,Y,N,N,N
A009970,영원무역홀딩스,지주사,Y,Y,N,N
A066970,엘앤에프,IT 장비 및 소재,Y,N,N,N
A058820,CMG제약,제약 및 바이오,Y,N,N,N
A000640,동아쏘시오홀딩스,지주사,Y,Y,N,N
A001630,종근당홀딩스,지주사,Y,Y,N,N
A008490,서흥,제약 및 바이오,Y,N,N,N
A298020,효성티앤씨,화학,Y,N,N,N
A085620,미래에셋생명,금융,Y,N,Y,N
A017810,풀무원,식음료,Y,N,N,N
A053800,안랩,IT서비스,Y,N,N,N
A006120,SK디스커버리,지주사,Y,Y,N,N
A032620,유비케어,의료기기 및 용품,Y,N,N,N
A009450,경동나비엔,기계,Y,N,N,N
A079160,CJ CGV,미디어 및 엔터,Y,N,N,N
